Date,SB,Winner
Feb 2 2020,LIV (54),Kansas City Chiefs
Feb 3 2019,LIII (53),New England Patriots
Feb 4 2018,LII (52),Philadelphia Eagles
Feb 5 2017,LI (51),New England Patriots
Feb 7 2016,50,Denver Broncos
Feb 1 2015,XLIX (49),New England Patriots
Feb 2 2014,XLVIII (48),Seattle Seahawks
Feb 3 2013,XLVII (47),Baltimore Ravens
Feb 5 2012,XLVI (46),New York Giants
Feb 6 2011,XLV (45),Green Bay Packers
Feb 7 2010,XLIV (44),New Orleans Saints
Feb 1 2009,XLIII (43),Pittsburgh Steelers
Feb 3 2008,XLII (42),New York Giants
Feb 4 2007,XLI (41),Indianapolis Colts
Feb 5 2006,XL (40),Pittsburgh Steelers
Feb 6 2005,XXXIX (39),New England Patriots
Feb 1 2004,XXXVIII (38),New England Patriots
Jan 26 2003,XXXVII (37),Tampa Bay Buccaneers
Feb 3 2002,XXXVI (36),New England Patriots
Jan 28 2001,XXXV (35),Baltimore Ravens
Jan 30 2000,XXXIV (34),St. Louis Rams
Jan 31 1999,XXXIII (33),Denver Broncos
Jan 25 1998,XXXII (32),Denver Broncos
Jan 26 1997,XXXI (31),Green Bay Packers
Jan 28 1996,XXX (30),Dallas Cowboys
Jan 29 1995,XXIX (29),San Francisco 49ers
Jan 30 1994,XXVIII (28),Dallas Cowboys
Jan 31 1993,XXVII (27),Dallas Cowboys
Jan 26 1992,XXVI (26),Washington Redskins
Jan 27 1991,XXV (25),New York Giants
Jan 28 1990,XXIV (24),San Francisco 49ers
Jan 22 1989,XXIII (23),San Francisco 49ers
Jan 31 1988,XXII (22),Washington Redskins
Jan 25 1987,XXI (21),New York Giants
Jan 26 1986,XX (20),Chicago Bears
Jan 20 1985,XIX (19),San Francisco 49ers
Jan 22 1984,XVIII (18),Los Angeles Raiders
Jan 30 1983,XVII (17),Washington Redskins
Jan 24 1982,XVI (16),San Francisco 49ers
Jan 25 1981,XV (15),Oakland Raiders
Jan 20 1980,XIV (14),Pittsburgh Steelers
Jan 21 1979,XIII (13),Pittsburgh Steelers
Jan 15 1978,XII (12),Dallas Cowboys
Jan 9 1977,XI (11),Oakland Raiders
Jan 18 1976,X (10),Pittsburgh Steelers
Jan 12 1975,IX (9),Pittsburgh Steelers
Jan 13 1974,VIII (8),Miami Dolphins
Jan 14 1973,VII (7),Miami Dolphins
Jan 16 1972,VI (6),Dallas Cowboys
Jan 17 1971,V (5),Baltimore Colts
Jan 11 1970,IV (4),Kansas City Chiefs
Jan 12 1969,III (3),New York Jets
Jan 14 1968,II (2),Green Bay Packers
Jan 15 1967,I (1),Green Bay Packers
