Winner Pts,Loser,Loser Pts,MVP,Stadium,City,State
31,San Francisco 49ers,20,Patrick Mahomes,Hard Rock Stadium,Miami Gardens,Florida
13,Los Angeles Rams,3,Julian Edelman,Mercedes-Benz Stadium,Atlanta,Georgia
41,New England Patriots,33,Nick Foles,U.S. Bank Stadium,Minneapolis,Minnesota
34,Atlanta Falcons,28,Tom Brady,NRG Stadium,Houston,Texas
24,Carolina Panthers,10,Von Miller,Levi's Stadium,Santa Clara,California
28,Seattle Seahawks,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona
43,Denver Broncos,8,Malcolm Smith,MetLife Stadium,East Rutherford,New Jersey
34,San Francisco 49ers,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana
21,New England Patriots,17,Eli Manning,Lucas Oil Stadium,Indianapolis,Indiana
31,Pittsburgh Steelers,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas
31,Indianapolis Colts,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida
27,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida
17,New England Patriots,14,Eli Manning,University of Phoenix Stadium,Glendale,Arizona
29,Chicago Bears,17,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida
21,Seattle Seahawks,10,Hines Ward,Ford Field,Detroit,Michigan
24,Philadelphia Eagles,21,Deion Branch,Alltel Stadium,Jacksonville,Florida
32,Carolina Panthers,29,Tom Brady,Reliant Stadium,Houston,Texas
48,Oakland Raiders,21,Dexter Jackson,Qualcomm Stadium,San Diego,California
20,St. Louis Rams,17,Tom Brady,Louisiana Superdome,New Orleans,Louisiana
34,New York Giants,7,Ray Lewis+,Raymond James Stadium,Tampa,Florida
23,Tennessee Titans,16,Kurt Warner+,Georgia Dome,Atlanta,Georgia
34,Atlanta Falcons,19,John Elway+,Pro Player Stadium,Miami Gardens,Florida
31,Green Bay Packers,24,Terrell Davis+,Qualcomm Stadium,San Diego,California
35,New England Patriots,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana
27,Pittsburgh Steelers,17,Larry Brown,Sun Devil Stadium,Tempe,Arizona
49,San Diego Chargers,26,Steve Young+,Joe Robbie Stadium,Miami Gardens,Florida
30,Buffalo Bills,13,Emmitt Smith+,Georgia Dome,Atlanta,Georgia
52,Buffalo Bills,17,Troy Aikman+,Rose Bowl,Pasadena,California
37,Buffalo Bills,24,Mark Rypien,Metrodome,Minneapolis,Minnesota
20,Buffalo Bills,19,Ottis Anderson,Tampa Stadium,Tampa,Florida
55,Denver Broncos,10,Joe Montana+,Louisiana Superdome,New Orleans,Louisiana
20,Cincinnati Bengals,16,Jerry Rice+,Joe Robbie Stadium,Miami Gardens,Florida
42,Denver Broncos,10,Doug Williams,Jack Murphy Stadium,San Diego,California
39,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California
46,New England Patriots,10,Richard Dent+,Louisiana Superdome,New Orleans,Louisiana
38,Miami Dolphins,16,Joe Montana+,Stanford Stadium,Palo Alto,California
38,Washington Redskins,9,Marcus Allen+,Tampa Stadium,Tampa,Florida
27,Miami Dolphins,17,John Riggins+,Rose Bowl,Pasadena,California
26,Cincinnati Bengals,21,Joe Montana+,Pontiac Silverdome,Pontiac,Michigan
27,Philadelphia Eagles,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana
31,Los Angeles Rams,19,Terry Bradshaw+,Rose Bowl,Pasadena,California
35,Dallas Cowboys,31,Terry Bradshaw+,Orange Bowl,Miami,Florida
27,Denver Broncos,10,Harvey MartinRandy White+,Superdome,New Orleans,Louisiana
32,Minnesota Vikings,14,Fred Biletnikoff+,Rose Bowl,Pasadena,California
21,Dallas Cowboys,17,Lynn Swann+,Orange Bowl,Miami,Florida
16,Minnesota Vikings,6,Franco Harris+,Tulane Stadium,New Orleans,Louisiana
24,Minnesota Vikings,7,Larry Csonka+,Rice Stadium,Houston,Texas
14,Washington Redskins,7,Jake Scott,Memorial Coliseum,Los Angeles,California
24,Miami Dolphins,3,Roger Staubach+,Tulane Stadium,New Orleans,Louisiana
16,Dallas Cowboys,13,Chuck Howley,Orange Bowl,Miami,Florida
23,Minnesota Vikings,7,Len Dawson+,Tulane Stadium,New Orleans,Louisiana
16,Baltimore Colts,7,Joe Namath+,Orange Bowl,Miami,Florida
33,Oakland Raiders,14,Bart Starr+,Orange Bowl,Miami,Florida
35,Kansas City Chiefs,10,Bart Starr+,Memorial Coliseum,Los Angeles,California
